paper_id,claim_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,defect_locus,notes
coppock_ekins_kirby_2018,t1_wave_1_n_control,table_1,Wave 1 / N / Control,622,622,1,622,1,,
coppock_ekins_kirby_2018,t1_wave_1_n_amtrak,table_1,Wave 1 / N / Amtrak,597,597,1,597,1,,
coppock_ekins_kirby_2018,t1_wave_1_n_climate,table_1,Wave 1 / N / Climate,570,570,1,570,1,,
coppock_ekins_kirby_2018,t1_wave_1_n_flat_tax,table_1,Wave 1 / N / Flat Tax,587,587,1,587,1,,
coppock_ekins_kirby_2018,t1_wave_1_n_veterans,table_1,Wave 1 / N / Veterans,592,592,1,592,1,,
coppock_ekins_kirby_2018,t1_wave_1_n_wall_street,table_1,Wave 1 / N / Wall Street,603,603,1,603,1,,
coppock_ekins_kirby_2018,t1_wave_1_n_totals,table_1,Wave 1 / N / Totals,3571,3571,1,3571,1,,
coppock_ekins_kirby_2018,t1_wave_2_distraction_control,table_1,Wave 2 / Distraction / Control,263,263,1,263,1,,
coppock_ekins_kirby_2018,t1_wave_2_distraction_amtrak,table_1,Wave 2 / Distraction / Amtrak,240,240,1,240,1,,
coppock_ekins_kirby_2018,t1_wave_2_distraction_climate,table_1,Wave 2 / Distraction / Climate,252,252,1,252,1,,
coppock_ekins_kirby_2018,t1_wave_2_distraction_flat_tax,table_1,Wave 2 / Distraction / Flat Tax,243,243,1,243,1,,
coppock_ekins_kirby_2018,t1_wave_2_distraction_veterans,table_1,Wave 2 / Distraction / Veterans,256,256,1,256,1,,
coppock_ekins_kirby_2018,t1_wave_2_distraction_wall_street,table_1,Wave 2 / Distraction / Wall Street,243,243,1,243,1,,
coppock_ekins_kirby_2018,t1_wave_2_distraction_totals,table_1,Wave 2 / Distraction / Totals,1497,1497,1,1497,1,,
coppock_ekins_kirby_2018,t1_wave_2_no_distraction_control,table_1,Wave 2 / No distraction / Control,253,253,1,253,1,,
coppock_ekins_kirby_2018,t1_wave_2_no_distraction_amtrak,table_1,Wave 2 / No distraction / Amtrak,247,247,1,247,1,,
coppock_ekins_kirby_2018,t1_wave_2_no_distraction_climate,table_1,Wave 2 / No distraction / Climate,240,240,1,240,1,,
coppock_ekins_kirby_2018,t1_wave_2_no_distraction_flat_tax,table_1,Wave 2 / No distraction / Flat Tax,243,243,1,243,1,,
coppock_ekins_kirby_2018,t1_wave_2_no_distraction_veterans,table_1,Wave 2 / No distraction / Veterans,257,257,1,257,1,,
coppock_ekins_kirby_2018,t1_wave_2_no_distraction_wall_street,table_1,Wave 2 / No distraction / Wall Street,261,261,1,261,1,,
coppock_ekins_kirby_2018,t1_wave_2_no_distraction_totals,table_1,Wave 2 / No distraction / Totals,1501,1501,1,1501,1,,
coppock_ekins_kirby_2018,t1_wave_2_responded_control,table_1,Wave 2 / Responded / Control,516,516,1,516,1,,
coppock_ekins_kirby_2018,t1_wave_2_responded_amtrak,table_1,Wave 2 / Responded / Amtrak,487,487,1,487,1,,
coppock_ekins_kirby_2018,t1_wave_2_responded_climate,table_1,Wave 2 / Responded / Climate,492,492,1,492,1,,
coppock_ekins_kirby_2018,t1_wave_2_responded_flat_tax,table_1,Wave 2 / Responded / Flat Tax,486,486,1,486,1,,
coppock_ekins_kirby_2018,t1_wave_2_responded_veterans,table_1,Wave 2 / Responded / Veterans,513,513,1,513,1,,
coppock_ekins_kirby_2018,t1_wave_2_responded_wall_street,table_1,Wave 2 / Responded / Wall Street,504,504,1,504,1,,
coppock_ekins_kirby_2018,t1_wave_2_responded_totals,table_1,Wave 2 / Responded / Totals,2998,2998,1,2998,1,,
coppock_ekins_kirby_2018,t1_wave_2_did_not_respond_control,table_1,Wave 2 / Did not respond / Control,106,106,1,106,1,,
coppock_ekins_kirby_2018,t1_wave_2_did_not_respond_amtrak,table_1,Wave 2 / Did not respond / Amtrak,110,110,1,110,1,,
coppock_ekins_kirby_2018,t1_wave_2_did_not_respond_climate,table_1,Wave 2 / Did not respond / Climate,78,78,1,78,1,,
coppock_ekins_kirby_2018,t1_wave_2_did_not_respond_flat_tax,table_1,Wave 2 / Did not respond / Flat Tax,101,101,1,101,1,,
coppock_ekins_kirby_2018,t1_wave_2_did_not_respond_veterans,table_1,Wave 2 / Did not respond / Veterans,79,79,1,79,1,,
coppock_ekins_kirby_2018,t1_wave_2_did_not_respond_wall_street,table_1,Wave 2 / Did not respond / Wall Street,99,99,1,99,1,,
coppock_ekins_kirby_2018,t1_wave_2_did_not_respond_totals,table_1,Wave 2 / Did not respond / Totals,573,573,1,573,1,,
coppock_ekins_kirby_2018,t1_wave_3_responded_control,table_1,Wave 3 / Responded / Control,433,433,1,433,1,,
coppock_ekins_kirby_2018,t1_wave_3_responded_amtrak,table_1,Wave 3 / Responded / Amtrak,412,412,1,412,1,,
coppock_ekins_kirby_2018,t1_wave_3_responded_climate,table_1,Wave 3 / Responded / Climate,386,386,1,386,1,,
coppock_ekins_kirby_2018,t1_wave_3_responded_flat_tax,table_1,Wave 3 / Responded / Flat Tax,386,386,1,386,1,,
coppock_ekins_kirby_2018,t1_wave_3_responded_veterans,table_1,Wave 3 / Responded / Veterans,412,412,1,412,1,,
coppock_ekins_kirby_2018,t1_wave_3_responded_wall_street,table_1,Wave 3 / Responded / Wall Street,422,422,1,422,1,,
coppock_ekins_kirby_2018,t1_wave_3_responded_totals,table_1,Wave 3 / Responded / Totals,2451,2451,1,2451,1,,
coppock_ekins_kirby_2018,t1_wave_3_did_not_respond_control,table_1,Wave 3 / Did not respond / Control,189,189,1,189,1,,
coppock_ekins_kirby_2018,t1_wave_3_did_not_respond_amtrak,table_1,Wave 3 / Did not respond / Amtrak,185,185,1,185,1,,
coppock_ekins_kirby_2018,t1_wave_3_did_not_respond_climate,table_1,Wave 3 / Did not respond / Climate,184,184,1,184,1,,
coppock_ekins_kirby_2018,t1_wave_3_did_not_respond_flat_tax,table_1,Wave 3 / Did not respond / Flat Tax,201,201,1,201,1,,
coppock_ekins_kirby_2018,t1_wave_3_did_not_respond_veterans,table_1,Wave 3 / Did not respond / Veterans,180,180,1,180,1,,
coppock_ekins_kirby_2018,t1_wave_3_did_not_respond_wall_street,table_1,Wave 3 / Did not respond / Wall Street,181,181,1,181,1,,
coppock_ekins_kirby_2018,t1_wave_3_did_not_respond_totals,table_1,Wave 3 / Did not respond / Totals,1120,1120,1,1120,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_control,table_5,Wave 1 / N / Control,448,448,1,448,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_amtrak,table_5,Wave 1 / N / Amtrak,407,407,1,407,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_flat_tax,table_5,Wave 1 / N / Flat Tax,463,463,1,463,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_veterans,table_5,Wave 1 / N / Veterans,438,438,1,438,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_wall_street,table_5,Wave 1 / N / Wall Street,425,425,1,425,1,,
coppock_ekins_kirby_2018,t5_wave_1_n_totals,table_5,Wave 1 / N / Totals,2181,2181,1,2181,1,,
