claim_id,location,claim_type,value_paper,needs_block
t1_wave_1_n_control,Table 1 (p. 67),pipeline,622,TRUE
t1_wave_1_n_amtrak,Table 1 (p. 67),pipeline,597,TRUE
t1_wave_1_n_climate,Table 1 (p. 67),pipeline,570,TRUE
t1_wave_1_n_flat_tax,Table 1 (p. 67),pipeline,587,TRUE
t1_wave_1_n_veterans,Table 1 (p. 67),pipeline,592,TRUE
t1_wave_1_n_wall_street,Table 1 (p. 67),pipeline,603,TRUE
t1_wave_1_n_totals,Table 1 (p. 67),pipeline,3571,TRUE
t1_wave_2_distraction_control,Table 1 (p. 67),pipeline,263,TRUE
t1_wave_2_distraction_amtrak,Table 1 (p. 67),pipeline,240,TRUE
t1_wave_2_distraction_climate,Table 1 (p. 67),pipeline,252,TRUE
t1_wave_2_distraction_flat_tax,Table 1 (p. 67),pipeline,243,TRUE
t1_wave_2_distraction_veterans,Table 1 (p. 67),pipeline,256,TRUE
t1_wave_2_distraction_wall_street,Table 1 (p. 67),pipeline,243,TRUE
t1_wave_2_distraction_totals,Table 1 (p. 67),pipeline,1497,TRUE
t1_wave_2_no_distraction_control,Table 1 (p. 67),pipeline,253,TRUE
t1_wave_2_no_distraction_amtrak,Table 1 (p. 67),pipeline,247,TRUE
t1_wave_2_no_distraction_climate,Table 1 (p. 67),pipeline,240,TRUE
t1_wave_2_no_distraction_flat_tax,Table 1 (p. 67),pipeline,243,TRUE
t1_wave_2_no_distraction_veterans,Table 1 (p. 67),pipeline,257,TRUE
t1_wave_2_no_distraction_wall_street,Table 1 (p. 67),pipeline,261,TRUE
t1_wave_2_no_distraction_totals,Table 1 (p. 67),pipeline,1501,TRUE
t1_wave_2_responded_control,Table 1 (p. 67),pipeline,516,TRUE
t1_wave_2_responded_amtrak,Table 1 (p. 67),pipeline,487,TRUE
t1_wave_2_responded_climate,Table 1 (p. 67),pipeline,492,TRUE
t1_wave_2_responded_flat_tax,Table 1 (p. 67),pipeline,486,TRUE
t1_wave_2_responded_veterans,Table 1 (p. 67),pipeline,513,TRUE
t1_wave_2_responded_wall_street,Table 1 (p. 67),pipeline,504,TRUE
t1_wave_2_responded_totals,Table 1 (p. 67),pipeline,2998,TRUE
t1_wave_2_did_not_respond_control,Table 1 (p. 67),pipeline,106,TRUE
t1_wave_2_did_not_respond_amtrak,Table 1 (p. 67),pipeline,110,TRUE
t1_wave_2_did_not_respond_climate,Table 1 (p. 67),pipeline,78,TRUE
t1_wave_2_did_not_respond_flat_tax,Table 1 (p. 67),pipeline,101,TRUE
t1_wave_2_did_not_respond_veterans,Table 1 (p. 67),pipeline,79,TRUE
t1_wave_2_did_not_respond_wall_street,Table 1 (p. 67),pipeline,99,TRUE
t1_wave_2_did_not_respond_totals,Table 1 (p. 67),pipeline,573,TRUE
t1_wave_3_responded_control,Table 1 (p. 67),pipeline,433,TRUE
t1_wave_3_responded_amtrak,Table 1 (p. 67),pipeline,412,TRUE
t1_wave_3_responded_climate,Table 1 (p. 67),pipeline,386,TRUE
t1_wave_3_responded_flat_tax,Table 1 (p. 67),pipeline,386,TRUE
t1_wave_3_responded_veterans,Table 1 (p. 67),pipeline,412,TRUE
t1_wave_3_responded_wall_street,Table 1 (p. 67),pipeline,422,TRUE
t1_wave_3_responded_totals,Table 1 (p. 67),pipeline,2451,TRUE
t1_wave_3_did_not_respond_control,Table 1 (p. 67),pipeline,189,TRUE
t1_wave_3_did_not_respond_amtrak,Table 1 (p. 67),pipeline,185,TRUE
t1_wave_3_did_not_respond_climate,Table 1 (p. 67),pipeline,184,TRUE
t1_wave_3_did_not_respond_flat_tax,Table 1 (p. 67),pipeline,201,TRUE
t1_wave_3_did_not_respond_veterans,Table 1 (p. 67),pipeline,180,TRUE
t1_wave_3_did_not_respond_wall_street,Table 1 (p. 67),pipeline,181,TRUE
t1_wave_3_did_not_respond_totals,Table 1 (p. 67),pipeline,1120,TRUE
t5_wave_1_n_control,Table 5 (p. 72),pipeline,448,TRUE
t5_wave_1_n_amtrak,Table 5 (p. 72),pipeline,407,TRUE
t5_wave_1_n_flat_tax,Table 5 (p. 72),pipeline,463,TRUE
t5_wave_1_n_veterans,Table 5 (p. 72),pipeline,438,TRUE
t5_wave_1_n_wall_street,Table 5 (p. 72),pipeline,425,TRUE
t5_wave_1_n_totals,Table 5 (p. 72),pipeline,2181,TRUE
t5_wave_2_distraction_control,Table 5 (p. 72),pipeline,139,TRUE
t5_wave_2_distraction_amtrak,Table 5 (p. 72),pipeline,135,TRUE
t5_wave_2_distraction_flat_tax,Table 5 (p. 72),pipeline,126,TRUE
t5_wave_2_distraction_veterans,Table 5 (p. 72),pipeline,132,TRUE
t5_wave_2_distraction_wall_street,Table 5 (p. 72),pipeline,138,TRUE
t5_wave_2_distraction_totals,Table 5 (p. 72),pipeline,670,TRUE
t5_wave_2_no_distraction_control,Table 5 (p. 72),pipeline,141,TRUE
t5_wave_2_no_distraction_amtrak,Table 5 (p. 72),pipeline,126,TRUE
t5_wave_2_no_distraction_flat_tax,Table 5 (p. 72),pipeline,141,TRUE
t5_wave_2_no_distraction_veterans,Table 5 (p. 72),pipeline,148,TRUE
t5_wave_2_no_distraction_wall_street,Table 5 (p. 72),pipeline,132,TRUE
t5_wave_2_no_distraction_totals,Table 5 (p. 72),pipeline,688,TRUE
t5_wave_2_responded_control,Table 5 (p. 72),pipeline,280,TRUE
t5_wave_2_responded_amtrak,Table 5 (p. 72),pipeline,261,TRUE
t5_wave_2_responded_flat_tax,Table 5 (p. 72),pipeline,267,TRUE
t5_wave_2_responded_veterans,Table 5 (p. 72),pipeline,280,TRUE
t5_wave_2_responded_wall_street,Table 5 (p. 72),pipeline,270,TRUE
t5_wave_2_responded_totals,Table 5 (p. 72),pipeline,1358,TRUE
t5_wave_2_did_not_respond_control,Table 5 (p. 72),pipeline,168,TRUE
t5_wave_2_did_not_respond_amtrak,Table 5 (p. 72),pipeline,146,TRUE
t5_wave_2_did_not_respond_flat_tax,Table 5 (p. 72),pipeline,196,TRUE
t5_wave_2_did_not_respond_veterans,Table 5 (p. 72),pipeline,158,TRUE
t5_wave_2_did_not_respond_wall_street,Table 5 (p. 72),pipeline,155,TRUE
t5_wave_2_did_not_respond_totals,Table 5 (p. 72),pipeline,823,TRUE
t3_amtrak_op_ed_amtrak_estimate,Table 3 (p. 70),pipeline,0.440,TRUE
t3_amtrak_op_ed_amtrak_std_error,Table 3 (p. 70),pipeline,0.085,TRUE
t3_amtrak_op_ed_climate_estimate,Table 3 (p. 70),pipeline,0.054,TRUE
t3_amtrak_op_ed_climate_std_error,Table 3 (p. 70),pipeline,0.079,TRUE
t3_amtrak_op_ed_flat_tax_estimate,Table 3 (p. 70),pipeline,0.195,TRUE
t3_amtrak_op_ed_flat_tax_std_error,Table 3 (p. 70),pipeline,0.078,TRUE
t3_amtrak_op_ed_veterans_estimate,Table 3 (p. 70),pipeline,0.047,TRUE
t3_amtrak_op_ed_veterans_std_error,Table 3 (p. 70),pipeline,0.079,TRUE
t3_amtrak_op_ed_wall_street_estimate,Table 3 (p. 70),pipeline,0.038,TRUE
t3_amtrak_op_ed_wall_street_std_error,Table 3 (p. 70),pipeline,0.078,TRUE
t3_amtrak_constant_estimate,Table 3 (p. 70),pipeline,2.902,TRUE
t3_amtrak_constant_std_error,Table 3 (p. 70),pipeline,0.054,TRUE
t3_climate_op_ed_amtrak_estimate,Table 3 (p. 70),pipeline,-0.020,TRUE
t3_climate_op_ed_amtrak_std_error,Table 3 (p. 70),pipeline,0.095,TRUE
t3_climate_op_ed_climate_estimate,Table 3 (p. 70),pipeline,0.427,TRUE
t3_climate_op_ed_climate_std_error,Table 3 (p. 70),pipeline,0.098,TRUE
t3_climate_op_ed_flat_tax_estimate,Table 3 (p. 70),pipeline,0.130,TRUE
t3_climate_op_ed_flat_tax_std_error,Table 3 (p. 70),pipeline,0.097,TRUE
t3_climate_op_ed_veterans_estimate,Table 3 (p. 70),pipeline,0.032,TRUE
t3_climate_op_ed_veterans_std_error,Table 3 (p. 70),pipeline,0.095,TRUE
t3_climate_op_ed_wall_street_estimate,Table 3 (p. 70),pipeline,0.079,TRUE
t3_climate_op_ed_wall_street_std_error,Table 3 (p. 70),pipeline,0.095,TRUE
t3_climate_constant_estimate,Table 3 (p. 70),pipeline,2.773,TRUE
t3_climate_constant_std_error,Table 3 (p. 70),pipeline,0.065,TRUE
t3_flat_tax_op_ed_amtrak_estimate,Table 3 (p. 70),pipeline,0.056,TRUE
t3_flat_tax_op_ed_amtrak_std_error,Table 3 (p. 70),pipeline,0.108,TRUE
t3_flat_tax_op_ed_climate_estimate,Table 3 (p. 70),pipeline,0.132,TRUE
t3_flat_tax_op_ed_climate_std_error,Table 3 (p. 70),pipeline,0.110,TRUE
t3_flat_tax_op_ed_flat_tax_estimate,Table 3 (p. 70),pipeline,0.850,TRUE
t3_flat_tax_op_ed_flat_tax_std_error,Table 3 (p. 70),pipeline,0.109,TRUE
t3_flat_tax_op_ed_veterans_estimate,Table 3 (p. 70),pipeline,-0.106,TRUE
t3_flat_tax_op_ed_veterans_std_error,Table 3 (p. 70),pipeline,0.110,TRUE
t3_flat_tax_op_ed_wall_street_estimate,Table 3 (p. 70),pipeline,0.151,TRUE
t3_flat_tax_op_ed_wall_street_std_error,Table 3 (p. 70),pipeline,0.107,TRUE
t3_flat_tax_constant_estimate,Table 3 (p. 70),pipeline,3.738,TRUE
t3_flat_tax_constant_std_error,Table 3 (p. 70),pipeline,0.076,TRUE
t3_veterans_op_ed_amtrak_estimate,Table 3 (p. 70),pipeline,-0.056,TRUE
t3_veterans_op_ed_amtrak_std_error,Table 3 (p. 70),pipeline,0.082,TRUE
t3_veterans_op_ed_climate_estimate,Table 3 (p. 70),pipeline,-0.009,TRUE
t3_veterans_op_ed_climate_std_error,Table 3 (p. 70),pipeline,0.082,TRUE
