study,Z,dv,wave,estimate,std.error,conf.low,conf.high
Elite Study,control,amtrak,w1,-0.03657261643964315,0.06031349146546235,-0.15529991296245835,0.08215468008317203
Elite Study,control,amtrak,w2,-0.03425476855588936,0.05846008116168291,-0.14933362110093762,0.08082408398915891
Elite Study,control,flat,w1,-0.033269027950347835,0.061540489836165606,-0.1544116746021622,0.08787361870146655
Elite Study,control,flat,w2,0.042691287806164734,0.06269949645321661,-0.08073286699500487,0.16611544260733435
Elite Study,control,vets,w1,-0.04363941222086763,0.055781867666265306,-0.1534461931266221,0.06616736868488686
Elite Study,control,vets,w2,0.003785019559624216,0.057607913124521806,-0.10961633753992776,0.11718637665917621
Elite Study,control,wall,w1,-0.10650548714684305,0.053352971080069235,-0.21153097752860775,-0.0014799967650783452
Elite Study,control,wall,w2,-0.04246674092634587,0.05514416910052026,-0.15101821021163578,0.06608472835894405
Elite Study,amtrak,amtrak,w1,0.36411209420014506,0.0703261604990259,0.22563074154039015,0.5025934468599
Elite Study,amtrak,amtrak,w2,0.1701725625204077,0.06740724366976847,0.03743893656645653,0.30290618847435885
Elite Study,amtrak,flat,w1,-0.02547971082889915,0.06445424597292543,-0.1523985004181432,0.1014390787603449
Elite Study,amtrak,flat,w2,-0.0011373158308732628,0.06639606571039755,-0.13187980092629062,0.1296051692645441
Elite Study,amtrak,vets,w1,0.025048015058154564,0.05827099233665535,-0.08969514427752417,0.13979117439383332
Elite Study,amtrak,vets,w2,0.02187378815258928,0.05920041512494056,-0.09469952548130854,0.13844710178648711
Elite Study,amtrak,wall,w1,-0.14720370198937435,0.057862284536174625,-0.26114206253251915,-0.03326534144622954
Elite Study,amtrak,wall,w2,-0.05965167082086198,0.05488391963413958,-0.16772524367445468,0.04842190203273074
Elite Study,paul,amtrak,w1,-0.08805067401670243,0.06142361478033497,-0.2089890003871689,0.03288765235376402
Elite Study,paul,amtrak,w2,-0.01916956349988856,0.06417604281465868,-0.14552720687272774,0.1071880798729506
Elite Study,paul,flat,w1,0.09503593489535443,0.06743015413508571,-0.03772880090151497,0.22780067069222382
Elite Study,paul,flat,w2,0.1126057822579251,0.06466737261773378,-0.014719251332704672,0.23993081584855486
Elite Study,paul,vets,w1,-0.058540682004879656,0.058591260926584815,-0.17390232364282934,0.05682095963307004
Elite Study,paul,vets,w2,-0.014207695715157528,0.05882444966754361,-0.13002846787091943,0.10161307644060438
Elite Study,paul,wall,w1,-0.21134186709165276,0.05511360875012786,-0.3198562817237772,-0.10282745245952828
Elite Study,paul,wall,w2,-0.0912545391811997,0.054531521909745695,-0.19862287003870677,0.016113791676307374
Elite Study,veterans,amtrak,w1,-0.01764324758011561,0.06308922135522278,-0.14183457706937816,0.10654808190914694
Elite Study,veterans,amtrak,w2,0.0591385483401592,0.06448937506318793,-0.06780898810088112,0.1860860847811995
Elite Study,veterans,flat,w1,0.030869460273205064,0.06359646745706524,-0.09432038475346388,0.156059305299874
Elite Study,veterans,flat,w2,0.0457915987384602,0.06376874437996274,-0.07973737394956462,0.17132057142648502
Elite Study,veterans,vets,w1,0.12532898504676798,0.0573385723789152,0.01245782604704948,0.23820014404648648
Elite Study,veterans,vets,w2,0.061426572953696246,0.058583572318985644,-0.05389537232060354,0.17674851822799603
Elite Study,veterans,wall,w1,0.02988984423178609,0.05618253860431803,-0.08070565866824228,0.14048534713181446
Elite Study,veterans,wall,w2,0.0017310061141655373,0.059916109694030946,-0.11621404314915358,0.11967605537748464
Elite Study,wallstreet,amtrak,w1,-0.05495412839267231,0.06344529436529975,-0.1798666180926007,0.06995836130725608
Elite Study,wallstreet,amtrak,w2,-0.03220633314431839,0.06452834846475458,-0.1592511635543974,0.0948384972657606
Elite Study,wallstreet,flat,w1,-0.018358619434029083,0.05969663046654382,-0.1358906572765547,0.09917341840849651
Elite Study,wallstreet,flat,w2,-1.2424885680711395e-4,0.062151827682007686,-0.12249013292789808,0.12224163521428384
Elite Study,wallstreet,vets,w1,-0.08089778244665732,0.05641981376147321,-0.19197835155512732,0.030182786661812677
Elite Study,wallstreet,vets,w2,-0.1040796415545081,0.05576130621880347,-0.2138637265428564,0.005704443433840176
Elite Study,wallstreet,wall,w1,0.44158580615634113,0.05010872566184814,0.3429306459789222,0.5402409663337601
