sample,issue,split,dv,estimate,std.error
Elite,Amtrak,25,dv_amtrak_agree_25_w1,0.044977404352404576,0.026768618853746238
Elite,Amtrak,50,dv_amtrak_agree_w1,0.09523626711126747,0.0341196504521443
Elite,Amtrak,75,dv_amtrak_agree_75_w1,0.08799140049140067,0.032741552602787445
Elite,Flat Tax,25,dv_flat_agree_25_w1,0.01695560783708722,0.02865949256326561
Elite,Flat Tax,50,dv_flat_agree_w1,0.02188271366862066,0.03308161966296008
Elite,Flat Tax,75,dv_flat_agree_75_w1,0.0568304535637148,0.03138156259115849
Elite,Veterans,25,dv_vets_agree_25_w1,0.017632909328114715,0.027804223929535438
Elite,Veterans,50,dv_vets_agree_w1,0.07782941943900837,0.033376099435127767
Elite,Veterans,75,dv_vets_agree_75_w1,0.09323018590997992,0.03149138473881021
Elite,Wall Street,25,dv_wall_agree_25_w1,0.13591386554621834,0.02428881036237231
Elite,Wall Street,50,dv_wall_agree_w1,0.2562605042016806,0.031160475952554285
Elite,Wall Street,75,dv_wall_agree_75_w1,0.2125630252100838,0.0313239043119436
MTurk,Amtrak,25,dv_amtrak_agree_25_w1,0.11526011622959328,0.02219522859364856
MTurk,Amtrak,50,dv_amtrak_agree_w1,0.1450257719465491,0.028020552434462376
MTurk,Amtrak,75,dv_amtrak_agree_75_w1,0.22665040098671274,0.026881075215471888
MTurk,Climate,25,dv_climate_agree_25_w1,0.10168105150335578,0.022925430949516126
MTurk,Climate,50,dv_climate_agree_w1,0.10877192982456141,0.02865572538315269
MTurk,Climate,75,dv_climate_agree_75_w1,0.10358210639138005,0.02654583696911845
MTurk,Flat Tax,25,dv_flat_agree_25_w1,0.0839491227397471,0.02316629755592273
MTurk,Flat Tax,50,dv_flat_agree_w1,0.19685906319669952,0.02760392466446676
MTurk,Flat Tax,75,dv_flat_agree_75_w1,0.1819048297244147,0.026860241021950535
MTurk,Veterans,25,dv_vets_agree_25_w1,0.16803358825063003,0.020761447376729913
MTurk,Veterans,50,dv_vets_agree_w1,0.275337837837839,0.026406678267786803
MTurk,Veterans,75,dv_vets_agree_75_w1,0.29303358825063097,0.026856627283100423
MTurk,Wall Street,25,dv_wall_agree_25_w1,0.157934870129524,0.021036143153438144
MTurk,Wall Street,50,dv_wall_agree_w1,0.2760687452341723,0.026319645310820823
MTurk,Wall Street,75,dv_wall_agree_75_w1,0.26987516863698563,0.026757472078058807
