sample,issue,dv_type,dv,p_classical,p_hc2
MTurk,Amtrak,Main DV,dv_amtrak_main_w1,0.04495708375821629,0.04170553912955704
MTurk,Amtrak,Scale DV,dv_amtrak_scale_w1,0.02936006868272865,0.019612869082320447
MTurk,Climate,Main DV,dv_climate_main_w1,0.8452407801072208,0.8832529105800069
MTurk,Climate,Scale DV,dv_climate_scale_w1,0.24333190368992014,0.3622685873808933
MTurk,Flat Tax,Main DV,dv_flat_main_w1,0.00909623436367859,0.00933769912910772
MTurk,Flat Tax,Scale DV,dv_flat_scale_w1,5.718419371199377e-4,3.7010553915461475e-4
MTurk,Veterans,Main DV,dv_vets_main_w1,0.8784918052703884,0.8758649306159508
MTurk,Veterans,Scale DV,dv_vets_scale_w1,0.5617305782727527,0.6145226448844636
MTurk,Wall Street,Main DV,dv_wall_main_w1,0.31026873374572345,0.34111851904796586
MTurk,Wall Street,Scale DV,dv_wall_scale_w1,0.3708618370407985,0.3736454034655285
Elite,Amtrak,Main DV,dv_amtrak_main_w1,0.4357775625953726,0.48661732728308427
Elite,Amtrak,Scale DV,dv_amtrak_scale_w1,0.3423297893899762,0.3832119102292239
Elite,Flat Tax,Main DV,dv_flat_main_w1,0.14637375458423257,0.18664785074692591
Elite,Flat Tax,Scale DV,dv_flat_scale_w1,0.2925646063829256,0.28395844315116137
Elite,Veterans,Main DV,dv_vets_main_w1,0.433727023000765,0.43135613490837993
Elite,Veterans,Scale DV,dv_vets_scale_w1,0.2908943589219108,0.3196141565025765
Elite,Wall Street,Main DV,dv_wall_main_w1,0.316111261911197,0.37184084044353494
Elite,Wall Street,Scale DV,dv_wall_scale_w1,0.2647874716245045,0.2825879032005046
