sample,dv_type,party,average_ate,average_ate_se
Elites,Main DV,Democrat,0.3209727720473577,0.05713752114728053
Elites,Main DV,Independent,0.399324422583908,0.1640712434582984
Elites,Main DV,Republican,0.5173800285501696,0.08965913548444833
Elites,Scale DV,Democrat,0.23176793144342117,0.036638048691136016
Elites,Scale DV,Independent,0.3081606612664291,0.09540121479532278
Elites,Scale DV,Republican,0.342494127069693,0.05306387831960781
Mechanical Turk,Main DV,Democrat,0.5778457839649647,0.045980712005696825
Mechanical Turk,Main DV,Independent,0.733488224129786,0.10331115033504315
Mechanical Turk,Main DV,Republican,0.8769025748765603,0.08098856093702683
Mechanical Turk,Scale DV,Democrat,0.44662346967701433,0.02939251624454961
Mechanical Turk,Scale DV,Independent,0.5043352753286586,0.06982725423444097
Mechanical Turk,Scale DV,Republican,0.6850104425966461,0.049492088660038236
