claim,value
MTurk subjects enrolled,3571
MTurk responded in Wave 2,2998
MTurk Wave 2 recontact rate (percent),83.95407448893867
MTurk responded in Wave 3,2451
MTurk Wave 3 recontact rate (percent),68.6362363483618
MTurk Wave 2 treatment-by-response chi-square p,0.10200031748990086
MTurk Wave 3 treatment-by-response chi-square p,0.6146575003261024
Elite subjects enrolled,2181
Elite responded in Wave 2,1358
Elite Wave 2 recontact rate (percent),62.265016047684554
Elite Wave 2 treatment-by-response chi-square p,0.2326935957648096
