file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
dv_df.rdata,3424835,doi:10.7910/DVN/3KBCJF/XTM21X,877,ea7ef4597e98720023734de356ab8115,ea7ef4597e98720023734de356ab8115,,dv_df.rdata
elite_opeds_cleaned.RData,3424831,doi:10.7910/DVN/3KBCJF/EZLDAA,329144,acced491aca64df352b9826a67dd300d,acced491aca64df352b9826a67dd300d,UNF:6:U3vtGvDN9FyxGVrhXplp2g==,elite_opeds_cleaned.tab
mturk_opeds_cleaned.RData,3424840,doi:10.7910/DVN/3KBCJF/NVD5OS,987901,521139b713646f5451670ef6b69812df,521139b713646f5451670ef6b69812df,UNF:6:1r+doF5FUrw5peSVNBGS0g==,mturk_opeds_cleaned.tab
opeds_agreement.R,3424837,doi:10.7910/DVN/3KBCJF/PSCV4G,5143,191140dce2eab39111c9b6e9b3af3729,191140dce2eab39111c9b6e9b3af3729,,opeds_agreement.R
opeds_appendix_attrition.R,3424843,doi:10.7910/DVN/3KBCJF/ILW4WJ,9681,c4e57423a3316b4afe9fcb6217e8da21,c4e57423a3316b4afe9fcb6217e8da21,,opeds_appendix_attrition.R
opeds_appendix_demographics.R,3424827,doi:10.7910/DVN/3KBCJF/YJEVUV,9989,61941af825f22ae6279342ea9e386cf8,61941af825f22ae6279342ea9e386cf8,,opeds_appendix_demographics.R
opeds_appendix_distractor.R,3424830,doi:10.7910/DVN/3KBCJF/ZBLKW4,3782,4d94553f6a53120ae55aa76b1e6f9b79,4d94553f6a53120ae55aa76b1e6f9b79,,opeds_appendix_distractor.R
opeds_appendix_heatmaps.R,3424838,doi:10.7910/DVN/3KBCJF/SU14ME,3214,f3d150c5ca2cfd7780039ee24fbe4b45,f3d150c5ca2cfd7780039ee24fbe4b45,,opeds_appendix_heatmaps.R
opeds_appendix_mj.R,3424832,doi:10.7910/DVN/3KBCJF/SFC0FM,4224,f96a5d9767090a4d1d96e01d0d35d4c3,f96a5d9767090a4d1d96e01d0d35d4c3,,opeds_appendix_mj.R
opeds_compare_samples.R,3424824,doi:10.7910/DVN/3KBCJF/2B0LHT,7156,9ef3afe034123a701913cd69759d3dfa,9ef3afe034123a701913cd69759d3dfa,,opeds_compare_samples.R
opeds_compliance.R,3424826,doi:10.7910/DVN/3KBCJF/D2CQBT,1103,1f13713316d6e6e436d98ee857a9074a,1f13713316d6e6e436d98ee857a9074a,,opeds_compliance.R
opeds_het_fx_age_analysis.R,3424842,doi:10.7910/DVN/3KBCJF/YT0UYQ,3355,b2d7c5bb45e16d84b82b71b85de7d823,b2d7c5bb45e16d84b82b71b85de7d823,,opeds_het_fx_age_analysis.R
opeds_het_fx_analysis.R,3424829,doi:10.7910/DVN/3KBCJF/ABF902,6390,6082cd513836256f30a045cce3d90e57,6082cd513836256f30a045cce3d90e57,,opeds_het_fx_analysis.R
opeds_main_analysis.R,3424828,doi:10.7910/DVN/3KBCJF/G1MTK7,6668,a08651e50df6185c650a8266bd69bfb4,a08651e50df6185c650a8266bd69bfb4,,opeds_main_analysis.R
opeds_monkey.R,3424836,doi:10.7910/DVN/3KBCJF/NWIJFM,3279,c34595deb6cb3c939f2bc43ce5937875,c34595deb6cb3c939f2bc43ce5937875,,opeds_monkey.R
opeds_persistence.R,3424839,doi:10.7910/DVN/3KBCJF/GVGRNA,3889,305e285b24182815c26c7626fa056cd9,305e285b24182815c26c7626fa056cd9,,opeds_persistence.R
opeds_persistence_pid.R,3424841,doi:10.7910/DVN/3KBCJF/NKFTYX,13890,12eba38f0e558b09041f84b1a5e3558b,12eba38f0e558b09041f84b1a5e3558b,,opeds_persistence_pid.R
opeds_recontact_rates.R,3424833,doi:10.7910/DVN/3KBCJF/TCJ3V4,2618,62693e9095ad045c199feee6945966a1,62693e9095ad045c199feee6945966a1,,opeds_recontact_rates.R
opeds_source.R,3424825,doi:10.7910/DVN/3KBCJF/SE7KCR,610,64049df63340488e93b4f9817573231b,64049df63340488e93b4f9817573231b,,opeds_source.R
README.txt,3424834,doi:10.7910/DVN/3KBCJF/AGFVEL,1481,7f7abce87be6d43072b004208245d81e,7f7abce87be6d43072b004208245d81e,,README.txt
